Day,Compost 1-Inside-Heating - kWh,Compost 1-Inside-Heating - w,Compost 1-Lower-Moisture,Compost 1-Lower-Temperature,Compost 1-Middle-Moisture,Compost 1-Middle-Temperature,Compost 1-Upper-Moisture,Compost 1-Upper-Temperature,Compost 2-Inside-Heating - kWh,Compost 2-Inside-Heating - w,Compost 2-Lower-Moisture,Compost 2-Lower-Temperature,Compost 2-Middle-Moisture,Compost 2-Middle-Temperature,Compost 2-Upper-Moisture,Compost 2-Upper-Temperature,Growing-18E0-Moisture,Growing-18E0-Temperature,Growing-4B21-Moisture,Growing-4B21-Temperature,Growing-5D20-Moisture,Growing-5D20-Temperature,Growing-E43B-Moisture,Growing-E43B-Temperature,Growing-R9A5E-Moisture,Growing-R9A5E-Temperature,Growing-Sensor 01-Moisture,Growing-Sensor 02-Moisture,Growing-Sensor 03-Moisture,Growing-Sensor 04-Moisture,Growing-Sensor 05-Moisture,Growing-Sensor 06-Moisture,Growing-Sensor 07-Moisture,Growing-Sensor 08-Moisture,Growing-Sensor 09-Moisture,Growing-Sensor 10-Moisture,Growing-Sensor 11-Moisture,Growing-Sensor 12-Moisture,Outside-Outside-Moisture,Outside-Outside-Temperature,Shed-Shed-Moisture,Shed-Shed-Temperature
2025-05-06,0.0,0.0,17.9,0.7,16.5,2.4,0.0,2.7,0.0,0.0,61.8,1.5,3.4,6.4,0.0,4.3,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,2.8,44.3,2.3
2025-05-07,0.0,0.0,18.6,1.4,19.6,3.2,0.0,3.7,0.0,0.0,61.8,2.5,5.3,7.2,0.0,5.7,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,2.8,44.7,2.4
2025-05-08,0.0,0.0,19.2,2.6,19.7,4.6,0.0,5.4,0.0,0.0,62.3,4.0,5.2,8.8,0.0,7.8,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,4.5,47.5,3.8
2025-05-09,0.0,0.0,19.6,5.0,20.0,6.9,0.0,7.4,0.0,0.0,63.5,6.0,5.6,10.8,0.0,9.5,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,5.9,49.1,4.9
2025-05-10,0.0,0.0,19.7,8.6,20.2,9.8,0.0,9.6,0.0,0.0,65.9,8.8,6.7,13.2,0.0,11.9,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,8.0,45.8,6.9
2025-05-11,0.0,0.0,20.1,12.5,20.6,13.1,0.0,12.1,0.0,0.0,69.9,12.5,7.0,17.1,0.0,16.6,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,9.8,42.5,8.3
2025-05-12,0.0,0.0,20.5,17.0,21.1,17.1,0.0,15.1,0.0,0.0,79.7,16.9,8.3,24.4,0.0,24.8,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.1,0.0,0.0,39.8,10.8,41.3,9.6
2025-05-13,0.0,0.0,20.9,20.9,21.6,21.6,0.0,19.3,0.0,0.0,86.7,21.8,11.4,32.1,0.0,27.6,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.1,0.0,0.0,44.0,10.4,44.7,9.9
2025-05-14,0.0,0.0,21.2,24.6,22.3,27.2,0.0,23.6,0.0,0.0,95.3,31.1,15.5,36.9,0.0,28.8,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,52.8,9.2,52.8,8.9
2025-05-15,0.0,0.0,21.8,31.3,23.0,34.9,0.0,28.1,0.0,0.0,99.9,39.6,17.7,42.2,0.0,31.6,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.0,0.0,0.0,46.0,10.5,47.3,9.6
2025-05-16,0.0,0.0,22.9,41.2,24.4,45.1,0.0,35.6,0.0,0.0,100.0,49.9,20.4,54.4,0.0,42.9,,,,,,,,,,,0.1,0.1,0.1,0.0,0.1,0.1,0.3,0.4,0.6,0.3,0.0,0.0,44.2,12.2,45.6,11.2
2025-05-17,0.0,0.0,25.4,53.4,26.3,56.3,0.0,44.4,0.0,0.0,100.0,57.7,20.4,59.3,0.0,49.7,,,,,,,,,,,0.1,0.3,0.4,0.0,0.2,0.2,0.7,0.8,0.8,0.7,0.0,0.0,43.5,9.7,44.3,9.2
2025-05-18,0.0,0.0,26.8,59.1,27.3,59.9,0.0,47.1,0.0,0.0,100.0,58.7,20.2,56.6,0.0,45.1,,,,,,,,,,,0.1,0.3,0.4,0.0,0.2,0.1,0.6,0.7,0.8,0.7,0.0,0.0,39.3,10.4,40.6,9.5
2025-05-19,0.0,0.0,29.3,57.5,35.0,56.9,0.0,44.1,0.0,0.0,100.0,59.9,21.6,58.8,0.0,44.7,,,,,,,,,,,0.1,0.3,0.4,0.0,0.1,0.1,0.7,0.8,0.8,0.7,0.0,0.0,43.8,12.2,44.8,11.4
2025-05-20,0.0,0.0,37.1,54.3,44.7,52.0,0.0,37.7,0.0,0.0,100.0,59.9,22.8,60.4,0.0,47.7,,,,,,,,,,,2.3,0.9,1.4,0.4,0.3,0.7,2.3,2.7,2.2,3.8,3.1,3.8,54.2,8.7,55.6,8.2
2025-05-21,0.0,0.0,37.6,48.4,43.0,45.2,0.0,29.9,0.0,0.0,100.0,56.7,23.5,56.3,0.0,42.2,,,,,,,,,,,4.5,1.2,2.4,0.7,0.4,1.3,4.0,4.7,3.6,6.9,6.0,7.4,72.3,3.6,72.3,3.4
2025-05-22,0.0,0.0,35.6,40.8,39.6,37.6,0.0,23.9,0.0,0.0,100.0,54.0,24.8,53.9,0.0,38.0,,,,,,,,,,,14.8,22.6,16.0,14.0,11.9,13.3,12.5,16.9,12.0,24.6,15.3,13.1,71.7,4.1,71.6,4.0
2025-05-23,0.0,0.0,39.9,33.9,32.6,31.1,0.0,21.5,0.0,0.0,100.0,52.5,37.1,52.5,0.0,37.2,,,,,,,,,,,13.9,32.6,24.1,11.0,12.8,16.2,22.6,25.2,7.5,16.4,9.9,8.3,61.1,9.8,60.7,9.8
2025-05-24,0.0,0.0,45.1,30.0,27.8,27.2,0.0,20.8,0.0,0.0,100.0,50.6,42.4,49.4,0.0,37.0,,,,,,,,,,,10.2,43.0,31.3,17.9,13.2,21.7,33.4,40.6,0.8,1.5,1.6,2.3,59.2,13.4,60.1,12.7
2025-05-25,0.0,0.0,43.5,27.5,27.3,24.9,0.0,19.6,0.0,0.0,100.0,47.6,37.6,45.7,0.0,34.5,,,,,,,,,,,10.5,48.4,42.5,21.1,15.3,24.9,39.8,45.4,0.8,1.5,1.6,2.4,53.9,12.6,54.4,12.3
2025-05-26,0.0,0.0,44.4,25.6,22.8,24.3,0.0,20.4,0.0,0.0,100.0,43.2,27.4,40.3,0.0,30.5,,,,,,,,,,,13.4,40.0,41.8,17.7,15.5,25.8,38.0,30.9,7.3,3.5,6.1,6.8,51.2,13.6,52.1,13.2
2025-05-27,0.0,0.0,42.9,25.7,20.2,24.4,0.0,21.1,0.0,0.0,100.0,39.4,22.2,36.9,0.0,28.8,,,,,,,,,,,25.0,44.0,43.0,31.9,23.6,43.4,41.6,25.6,12.8,23.4,20.6,21.1,57.7,13.8,57.6,13.5
2025-05-28,0.0,0.0,42.0,25.9,20.0,24.0,0.0,19.1,0.0,0.0,96.2,35.2,21.5,32.9,3.0,24.0,,,,,,,,,,,21.8,35.3,30.0,20.8,22.0,33.4,29.1,23.8,8.7,16.0,19.4,16.0,59.5,11.9,59.7,11.6
2025-05-29,0.0,0.0,42.0,26.9,20.0,25.5,0.0,21.9,0.0,0.0,92.7,32.2,21.9,33.3,5.9,25.0,,,,,,,,,,,29.6,40.6,30.8,28.4,33.1,42.7,29.7,38.6,14.9,23.1,34.3,41.9,51.5,15.2,54.8,13.7
2025-05-30,0.0,0.0,35.5,28.9,17.2,30.2,0.1,30.1,0.0,0.0,54.3,28.8,11.4,31.2,9.7,28.8,,,,,,,,,,,32.0,40.3,34.3,33.2,33.9,27.0,34.2,42.3,20.1,20.7,35.1,28.3,44.2,16.1,47.3,14.6
