Waste type,Initial pH ,Initial carbon to nitrogen,Initial moisture content (%),Compost time (day),pH,Temperature (℃),Moisture content (%),EC（ms/cm-1）,Ammonia(mg/kg,Nitrate(mg/kg),Total nitrogen (%),Change in total organiz carbon (%),Change in organic matter content (%),C/N,GI (%),NH4+-N (g/Kg),NO3--N (g/Kg),CO2 (g/Kg),CH4 (g/Kg),N2O (g/Kg),NH3 (g/Kg)
sludge waste composting,8.01378,10.054,53.668,0.0,29.772,53.668,8.01378,3.9202,42.27,828.65,2.464,24.773056,44.848,10.054,48.778,,,,,,
sludge waste composting,8.01378,10.054,53.668,2.0,43.537,50.151,7.35213,4.2153,207.22,291.85,2.226,18.139674,44.47,8.149,31.122,,,,,,
sludge waste composting,8.01378,10.054,53.668,5.0,79.707,41.357,18.088,18.088,18.088,18.088,18.088,18.088,43.838,7.6,29.925,,,,,,
sludge waste composting,8.01378,10.054,53.668,10.0,80.026,42.487,7.28697,2.966,171.13,756.51,2.338,19.496582,43.207,8.339,51.471,,,,,,
sludge waste composting,8.01378,10.054,53.668,17.0,79.858,44.246,7.17168,2.7451,125.77,929.46,2.016,21.855456,44.217,10.841,53.267,,,,,,
sludge waste composting,8.01378,10.054,53.668,24.0,75.114,35.327,7.04135,2.9229,339.18,503.94,2.226,23.197146,43.586,10.421,83.192,,,,,,
sludge waste composting,8.01378,10.054,53.668,30.0,39.06,30.553,6.95614,3.0366,141.24,514.06,2.296,22.656928,40.808,9.868,97.257,,,,,,
sludge waste composting,8.23935,9.171,58.693,0.0,26.209,58.693,8.23935,1.2854,68.04,398.96,2.387,21.891177,48.384,9.171,43.392,,,,,,
sludge waste composting,8.23935,9.171,58.693,2.0,38.955,58.568,7.70802,1.2848,78.35,451.44,1.82,21.25942,46.111,11.681,17.955,,,,,,
sludge waste composting,8.23935,9.171,58.693,5.0,38.995,56.181,7.67794,1.2838,296.91,415.08,2.051,20.464878,45.48,9.978,15.86,,,,,,
sludge waste composting,8.23935,9.171,58.693,10.0,62.723,56.683,7.46742,1.6164,64.95,314.57,1.666,19.778752,42.449,11.872,18.554,,,,,,
sludge waste composting,8.23935,9.171,58.693,17.0,61.284,45.754,7.2619,1.6783,67.01,395.45,1.295,18.35015,42.323,14.17,58.953,,,,,,
sludge waste composting,8.23935,9.171,58.693,24.0,61.118,41.482,7.40226,1.7918,98.97,350.48,1.379,19.055022,43.207,13.818,65.536,,,,,,
sludge waste composting,8.23935,9.171,58.693,30.0,52.288,37.337,7.39223,1.8542,56.7,320.7,0.973,19.913418,42.323,20.466,90.374,,,,,,
sludge waste composting,8.23935,9.171,58.693,36.0,30.736,30.678,7.31203,1.7622,7.22,367.65,1.134,17.341128,43.081,15.292,93.067,,,,,,
sludge waste composting,7.60917,19.8776,67.291,1.0,48.497,67.291,7.60917,0.17716,2033.8,328.7,2.04159,40.581909384,73.5878,19.8776,25.07,,,,,,
sludge waste composting,7.60917,19.8776,67.291,3.0,65.129,66.023,7.77508,1.76472,5000.0,745.64,1.87693,38.085162016,72.7445,20.2912,27.811,,,,,,
sludge waste composting,7.60917,19.8776,67.291,5.0,67.247,66.079,8.18173,1.03347,5000.0,572.01,1.84266,37.072845072,72.9219,20.1192,28.103,,,,,,
sludge waste composting,7.60917,19.8776,67.291,7.0,57.086,64.389,8.32692,0.92256,5000.0,465.31,1.86055,36.47868752,71.8321,19.6064,16.93,,,,,,
sludge waste composting,7.60917,19.8776,67.291,10.0,49.286,62.457,8.71041,1.32849,4512.1,526.03,1.89642,34.634887386,69.4406,18.2633,14.311,,,,,,
sludge waste composting,7.60917,19.8776,67.291,13.0,44.215,60.224,8.58126,1.1769,4190.5,882.01,1.87613,33.666777624,69.2317,17.9448,16.13,,,,,,
sludge waste composting,7.60917,19.8776,67.291,16.0,42.989,56.187,8.42107,1.64927,4573.7,796.6,1.90395,32.5842003,69.6912,17.114,21.92,,,,,,
sludge waste composting,7.60917,19.8776,67.291,19.0,39.903,55.097,8.57671,1.43123,4232.0,851.2,1.96791,34.108406493,69.7991,17.3323,26.03,,,,,,
sludge waste composting,7.60917,19.8776,67.291,24.0,35.711,51.897,8.46334,1.47515,4001.5,905.7,2.06582,34.842739866,68.6058,16.8663,45.112,,,,,,
sludge waste composting,7.60917,19.8776,67.291,29.0,28.416,50.681,8.3137,1.61878,3549.5,941.91,2.12158,33.087313048,67.9405,15.5956,51.046,,,,,,
sludge waste composting,7.60917,19.8776,67.291,34.0,28.938,49.947,8.23911,1.21595,2795.5,1017.71,2.13922,32.470364692,65.5507,15.1786,60.344,,,,,,
sludge waste composting,7.60917,19.8776,67.291,41.0,30.461,47.946,7.89553,1.17852,2353.9,1123.84,2.18482,32.142634876,64.464,14.7118,75.591,,,,,,
sludge waste composting,7.60917,19.8776,67.291,48.0,30.992,47.328,7.72279,1.01551,1751.3,1166.02,2.20031,31.182353258,63.7298,14.1718,82.887,,,,,,
sludge waste composting,7.54704,21.0485,65.366,1.0,38.077,65.366,7.54704,0.40977,2104.2,362.2,1.9754,41.5792069,75.5239,21.0485,21.095,,,,,,
sludge waste composting,7.54704,21.0485,65.366,3.0,56.57,64.398,7.63525,1.69825,4349.6,818.69,1.90702,37.765289166,76.5811,19.8033,24.14,,,,,,
sludge waste composting,7.54704,21.0485,65.366,5.0,57.697,63.732,7.54747,2.2224,4148.7,565.93,1.92891,37.397514189,76.9348,19.3879,30.398,,,,,,
sludge waste composting,7.54704,21.0485,65.366,7.0,68.871,62.705,7.98779,1.68318,5000.0,440.97,1.89065,36.469315045,75.8098,19.2893,20.6,,,,,,
sludge waste composting,7.54704,21.0485,65.366,10.0,60.698,61.916,8.68972,1.06634,4411.5,775.65,1.83827,34.245867138,74.3686,18.6294,16.605,,,,,,
sludge waste composting,7.54704,21.0485,65.366,13.0,49.053,56.796,8.47513,0.98489,3445.6,1015.95,1.96038,33.840275598,71.5197,17.2621,20.257,,,,,,
sludge waste composting,7.54704,21.0485,65.366,16.0,44.85,52.338,8.5816,1.61237,4060.3,827.04,2.05243,34.875301046,71.6627,16.9922,21.003,,,,,,
sludge waste composting,7.54704,21.0485,65.366,19.0,40.151,50.826,8.51199,1.2946,3758.9,887.73,2.06821,31.155308619,71.3126,15.0639,39.792,,,,,,
sludge waste composting,7.54704,21.0485,65.366,24.0,44.766,48.889,8.4737,1.36806,3467.9,939.19,2.15008,31.491791744,69.8378,14.6468,58.11,,,,,,
sludge waste composting,7.54704,21.0485,65.366,29.0,32.014,47.073,8.42762,1.45263,2864.9,1118.47,2.19984,31.732692,67.5533,14.425,75.205,,,,,,
sludge waste composting,7.54704,21.0485,65.366,34.0,32.659,46.64,8.35306,1.01287,2322.3,1124.26,2.22351,30.170362488,66.4305,13.5688,82.82,,,,,,
sludge waste composting,7.54704,21.0485,65.366,41.0,28.476,45.659,7.75829,1.27819,1830.4,1260.8,2.29716,28.864734264,65.0626,12.5654,85.987,,,,,,
sludge waste composting,7.54704,21.0485,65.366,48.0,29.007,44.26,7.6477,1.05613,1560.0,1281.69,2.34274,28.34363989,64.5394,12.0985,86.098,,,,,,
sludge waste composting,7.37099,22.219,63.441,1.0,36.093,63.441,7.37099,0.60547,1681.4,432.21,1.94529,43.22239851,77.5656,22.219,28.128,,,,,,
sludge waste composting,7.37099,22.219,63.441,3.0,48.507,61.692,7.57313,1.59486,3846.3,739.54,1.78866,39.915021096,78.3413,22.3156,30.256,,,,,,
sludge waste composting,7.37099,22.219,63.441,5.0,66.504,60.845,7.63031,1.76455,3786.2,468.5,1.76644,38.90054168,77.9907,22.022,33.608,,,,,,
sludge waste composting,7.37099,22.219,63.441,7.0,65.149,61.021,7.50104,2.09302,4914.1,300.95,1.81441,37.653906407,77.0065,20.7527,21.822,,,,,,
sludge waste composting,7.37099,22.219,63.441,10.0,62.187,57.885,8.48001,1.33587,3364.4,723.9,1.85229,36.539939601,76.1992,19.7269,19.357,,,,,,
sludge waste composting,7.37099,22.219,63.441,13.0,52.03,55.653,8.28874,1.16581,3153.6,824.18,1.95638,36.58626238,72.8923,18.701,23.008,,,,,,
sludge waste composting,7.37099,22.219,63.441,16.0,52.913,51.556,8.45732,1.70467,3677.7,750.93,2.01431,35.013542144,72.8594,17.3824,36.141,,,,,,
sludge waste composting,7.37099,22.219,63.441,19.0,43.005,47.759,8.57154,1.36474,3295.8,808.59,2.09028,33.170235264,72.7558,15.8688,48.355,,,,,,
sludge waste composting,7.37099,22.219,63.441,24.0,42.533,45.701,8.50218,1.23146,2561.9,945.27,2.24638,32.409198174,68.8171,14.4273,55.052,,,,,,
sludge waste composting,7.37099,22.219,63.441,29.0,30.028,43.825,8.43795,1.3234,2331.4,1051.51,2.30415,32.338054005,69.1725,14.0347,63.278,,,,,,
sludge waste composting,7.37099,22.219,63.441,34.0,32.411,40.685,8.3349,0.89473,2120.9,1179.05,2.36593,31.987610193,68.0849,13.5201,78.386,,,,,,
sludge waste composting,7.37099,22.219,63.441,41.0,28.477,40.006,7.97319,1.17484,1649.2,1199.93,2.38741,29.067194232,66.1538,12.1752,84.304,,,,,,
sludge waste composting,7.37099,22.219,63.441,48.0,28.139,38.726,7.66843,1.28876,1217.7,1376.07,2.43303,28.961572605,65.5955,11.9035,90.379,,,,,,
sludge waste composting,7.55479,23.3166,61.456,1.0,32.868,61.456,7.55479,0.779,1812.3,474.84,1.96536,45.825512976,79.6776,23.3166,31.952,,,,,,
sludge waste composting,7.55479,23.3166,61.456,3.0,37.591,59.887,7.63269,1.11853,2910.0,675.63,1.72447,41.174480402,79.3621,23.8766,33.163,,,,,,
sludge waste composting,7.55479,23.3166,61.456,5.0,53.603,58.86,7.55781,1.13685,3272.9,705.93,1.70422,39.816373548,79.1523,23.3634,35.443,,,,,,
sludge waste composting,7.55479,23.3166,61.456,7.0,57.334,56.93,7.99557,1.62041,3857.1,340.52,1.74017,38.956837756,79.6112,22.3868,22.739,,,,,,
sludge waste composting,7.55479,23.3166,61.456,10.0,58.341,52.412,8.68454,1.5205,2941.6,696.5,1.77604,38.501172724,77.0086,21.6781,17.065,,,,,,
sludge waste composting,7.55479,23.3166,61.456,13.0,50.913,47.112,8.46998,1.20644,2549.6,729.8,1.84803,37.038771669,76.3067,20.0423,25.303,,,,,,
sludge waste composting,7.55479,23.3166,61.456,16.0,51.301,43.736,8.58939,1.77483,2983.1,699.18,1.93805,36.429719655,76.696,18.7971,33.847,,,,,,
sludge waste composting,7.55479,23.3166,61.456,19.0,45.609,42.947,8.50424,1.45335,2732.1,738.58,2.01004,36.162026628,75.9237,17.9907,53.094,,,,,,
sludge waste composting,7.55479,23.3166,61.456,24.0,43.401,42.453,8.46593,1.27576,2451.2,933.08,2.09792,34.565539712,73.5337,16.4761,66.674,,,,,,
sludge waste composting,7.55479,23.3166,61.456,29.0,30.154,40.577,8.42243,1.30863,2130.0,1011.94,2.24796,33.303752196,71.2493,14.8151,72.3,,,,,,
sludge waste composting,7.55479,23.3166,61.456,34.0,30.551,39.662,8.36081,1.05349,1557.2,1291.68,2.31175,32.834016425,68.9296,14.2031,75.633,,,,,,
sludge waste composting,7.55479,23.3166,61.456,41.0,27.981,37.299,7.76347,0.96065,1478.0,1349.09,2.35334,31.809155444,68.3714,13.5166,88.741,,,,,,
sludge waste composting,7.55479,23.3166,61.456,48.0,29.256,34.756,7.6503,1.0266,1308.3,1415.65,2.41296,30.370479744,66.7923,12.5864,92.366,,,,,,
sludge waste composting,7.24082,8.2935,59.408,0.0,36.716,59.408,7.24082,2.2319,4835.6,1.9913,3.03061,25.1579,50.2395,8.2935,65.132,,,,,,
sludge waste composting,7.24082,8.2935,59.408,3.0,86.44,55.464,7.57143,2.667,5000.0,5.4656,2.73852,22.0541,47.7525,8.1937,8.705,,,,,,
sludge waste composting,7.24082,8.2935,59.408,6.0,86.44,50.666,8.05714,2.929,5000.0,4.2284,2.55867,19.6349,45.7126,7.8764,24.293,,,,,,
sludge waste composting,7.24082,8.2935,59.408,12.0,73.111,44.358,8.11429,3.0229,5000.0,3.1725,2.60102,17.5329,44.7345,7.0028,51.727,,,,,,
sludge waste composting,7.24082,8.2935,59.408,18.0,68.494,39.367,8.19592,3.3581,5000.0,1.3487,2.62297,16.9045,40.3752,6.7269,63.885,,,,,,
sludge waste composting,7.24082,8.2935,59.408,24.0,29.926,40.625,8.13878,3.2622,5000.0,2.0499,2.69184,16.1974,40.1238,6.3315,96.93,,,,,,
sludge waste composting,7.24082,8.2935,59.408,36.0,36.444,39.26,8.1551,3.4255,5000.0,2.372,2.71938,16.0197,39.7884,6.2472,101.607,,,,,,
sludge waste composting,7.24082,8.2935,59.408,48.0,29.383,37.039,8.19184,3.4746,5000.0,3.2799,2.67553,15.8684,39.5928,6.2391,102.542,,,,,,
sludge waste composting,7.3102,8.4565,58.289,0.0,34.543,58.289,7.3102,2.2826,4532.6,1.8742,2.98571,25.1578,50.519,8.4565,60.456,,,,,,
